,compounds,number_chiral_centers,weight
983,C04327,0,223.1867
984,C04332,3,326.3052
985,C04340,0,0.0
986,C04349,1,176.1241
987,C04352,2,402.3578
988,C04375,6,0.0
989,C04376,4,314.1865
990,C04377,11,788.6934
991,C04395,-1,0.0
992,C04405,7,867.6499
993,C04409,0,185.1342
994,C04411,2,176.1672
995,C04419,2,0.0
996,C04425,4,398.4142
997,C04431,0,140.0936
998,C04432,12,0.0
999,C04438,1,0.0
1000,C04441,2,0.0
1001,C04453,8,398.6642
1002,C04475,1,0.0
1003,C04477,6,500.0755
1004,C04489,4,717.6838
1005,C04494,4,683.1402
1006,C04500,5,0.0
1007,C04501,5,301.1877
1008,C04504,5,0.0
1009,C04506,3,0.0
1010,C04512,5,0.0
1011,C04517,1,0.0
1012,C04525,7,398.6642
1013,C04537,10,0.0
1014,C04540,6,335.3104
1015,C04549,7,0.0
1016,C04553,0,186.1189
1017,C04554,6,434.6517
1018,C04556,0,219.1351
1019,C04563,6,580.0554
1020,C04570,-1,0.0
1021,C04575,2,192.1235
1022,C04582,2,260.202
1023,C04593,2,206.1501
1024,C04598,1,0.0
1025,C04599,0,173.2542
1026,C04618,1,0.0
1027,C04619,1,0.0
1028,C04620,1,0.0
1029,C04633,1,0.0
1030,C04635,1,0.0
1031,C04637,7,0.0
1032,C04640,4,313.2017
1033,C04646,4,364.2716
1034,C04666,2,238.1351
1035,C04675,5,979.7765
1036,C04677,4,338.2112
1037,C04679,2,0.0
1038,C04681,2,0.0
1039,C04682,2,0.0
1040,C04688,1,0.0
1041,C04691,3,288.1459
1042,C04692,2,0.0
1043,C04696,12,0.0
1044,C04706,0,174.5386
1045,C04727,2,0.0
1046,C04730,18,0.0
1047,C04731,0,189.2536
1048,C04732,3,276.2465
1049,C04734,4,366.2213
1050,C04735,1,0.0
1051,C04736,1,0.0
1052,C04737,17,0.0
1053,C04742,1,320.4663
1054,C04748,3,0.0
1055,C04751,4,339.1959
1056,C04752,0,299.115
1057,C04756,0,0.0
1058,C04763,1,0.0
1059,C04801,2,0.0
1060,C04805,1,320.4663
1061,C04807,0,355.1385
1062,C04810,8,0.0
1063,C04823,5,454.2833
1064,C04827,1,0.0
1065,C04840,9,444.6896
1066,C04856,9,683.4563
1067,C04874,2,255.2306
1068,C04884,23,0.0
1069,C04895,2,495.1703
1070,C04896,8,577.331
1071,C04899,9,763.4362
1072,C04900,15,814.6087
1073,C04903,20,0.0
1074,C04911,28,0.0
1075,C04916,6,577.331
1076,C04942,5,0.0
1077,C05011,0,387.514
1078,C05067,5,0.0
1079,C05102,0,0.0
1080,C05108,6,412.6908
1081,C05110,7,400.6801
1082,C05111,4,400.6801
1083,C05116,5,853.6234
